# prefix,country_code,region_code,city,postal | https://www.iso.org/obp/ui/en/#iso:code:3166:GB
23.27.50.0/24,US,US-NY,New York,10013
23.27.48.0/24,HK,HK,Hong Kong,000000
23.27.53.0/24,MY,MY-14,Kuala Lumpur,50480
23.27.52.0/24,JP,JP-13,Tokyo,1500000
142.111.77.0/24,DE,DE-HE,Frankfurt am Main,60489
136.0.1.0/24,GB,GB-ENG,London,EC4
166.88.2.0/24,JP,JP-27,Osaka,530-0003
166.88.14.0/24,JP,JP-27,Osaka,530-0003
166.88.95.0/24,JP,JP-27,Osaka,530-0003
166.88.54.0/24,GB,GB-ENG,London,EC4
166.88.73.0/24,GB,GB-ENG,London,EC4
166.88.90.0/24,US,US-CA,Los Angeles,90009
166.88.96.0/24,US,US-CA,Los Angeles,90009
166.88.101.0/24,US,US-CA,Los Angeles,90009
166.88.114.0/24,US,US-CA,Los Angeles,90009
166.88.117.0/24,DE,DE-HE,Frankfurt am Main,60489
166.88.194.0/24,MY,MY-14,Kuala Lumpur,50480
166.88.97.0/24,JP,JP-27,Osaka,530-0003
166.88.98.0/24,JP,JP-27,Osaka,530-0003
166.88.99.0/24,JP,JP-27,Osaka,530-0003
166.88.100.0/24,JP,JP-27,Osaka,530-0003
166.88.1.0/24,GB,GB-ENG,London,EC4
166.88.4.0/24,GB,GB-ENG,London,EC4
166.88.6.0/24,GB,GB-ENG,London,EC4
166.88.7.0/24,MY,MY-14,Kuala Lumpur,50480
166.88.8.0/24,US,US-NY,New York,10013
166.88.11.0/24,HK,HK,Hong Kong,000000
23.27.12.0/24,US,US-CA,Los Angeles,90009
23.27.46.0/24,US,US-CA,Los Angeles,90009
23.27.47.0/24,US,US-CA,Los Angeles,90009
23.27.51.0/24,US,US-NY,New York,10013
23.27.176.0/24,US,US-CA,Los Angeles,90009
23.27.177.0/24,US,US-CA,Los Angeles,90009
136.0.0.0/24,US,US-CA,Los Angeles,90009
23.27.119.0/24,US,US-CA,Los Angeles,90009
23.27.121.0/24,US,US-CA,Los Angeles,90009
23.27.123.0/24,US,US-CA,Los Angeles,90009
23.27.124.0/24,DE,DE-HE,Frankfurt am Main,60489
23.27.125.0/24,US,US-NY,New York,10013
23.27.126.0/24,US,US-NY,New York,10013
23.27.20.0/24,GB,GB-ENG,London,EC4
23.27.140.0/24,US,US-NY,New York,10013
23.27.141.0/24,US,US-NY,New York,10013
23.27.142.0/24,US,US-NY,New York,10013
23.27.143.0/24,US,US-NY,New York,10013
23.27.169.0/24,JP,JP-13,Tokyo,1500000
23.27.25.0/24,DE,DE-HE,Frankfurt am Main,60489
23.27.26.0/24,US,US-CA,Los Angeles,90009
23.27.199.0/24,MY,MY-14,Kuala Lumpur,50480
23.27.200.0/24,MY,MY-14,Kuala Lumpur,50480
23.27.201.0/24,JP,JP-13,Tokyo,1500000
136.0.7.0/24,US,US-NY,New York,10013
136.0.10.0/24,US,US-NY,New York,10013
166.88.55.0/24,HK,HK,Hong Kong,000000
136.0.141.0/24,NL,NL-NH,Haarlem,2031 BE
108.165.64.0/24,AU,AU-NSW,Sydney,2000
23.27.98.0/24,ID,ID-JK,Jakarta,10110
38.95.173.0/24,CA,CA-QC,Montreal,H2Y1C6
23.27.240.0/24,MY,MY-14,Kuala Lumpur,50480
38.211.230.0/24,MY,MY-14,Kuala Lumpur,50480 #SG
38.225.209.0/24,CH,ZH,Zurich,8001
38.246.69.0/24,US,US-CA,Los Angeles,90009
38.246.70.0/24,US,US-CA,Los Angeles,90009
38.246.71.0/24,US,US-CA,Los Angeles,90009
38.246.72.0/24,US,US-CA,Los Angeles,90009
38.246.73.0/24,MY,MY-14,Kuala Lumpur,50480
23.27.28.0/24,MY,MY-14,Kuala Lumpur,50480
23.27.99.0/24,AU,AU-NSW,Sydney,2000
108.165.100.0/24,HK,HK,Hong Kong,000000
50.114.5.0/24,MY,MY-14,Kuala Lumpur,50480
168.93.214.0/24,JP-27,Osaka,530-0003
166.0.106.0/24,CA,CA-QC,Montreal,H2Y1C6
23.26.237.0/24,NL,NL-NH,Haarlem,2031 BE
166.0.132.0/24,FR,FR‑IDF,Saint‑Denis,93200
50.114.59.0/24,HK,HK,Hong Kong,000000
142.111.15.0/24,ID,ID-JK,Jakarta,10110
96.126.191.0/24,JP,JP-27,Osaka,530-0003
168.93.198.0/24,MY,MY-14,Kuala Lumpur,59200
108.165.147.0/24,HK,HK,Hong Kong,000000
198.20.155.0/24,KR,KR-11,Seoul,08503
142.111.146.0/24,MY,MY-14,Kuala Lumpur,59200
